Funktionsname,Component
AddToErrorLog,Plugin
CF,FM
CGPSConverter.Convert,Utility
CLibrary.GetTag,CFunction
CLibrary.List,CFunction
CLibrary.Load,CFunction
CLibrary.LoadFunction,CFunction
CLibrary.Name,CFunction
CLibrary.Release,CFunction
CLibrary.ReleaseAll,CFunction
CLibrary.SetTag,CFunction
CLibrary.Symbols,CFunction
CNContact.AddEmailAddress,Contacts
CNContact.AddInstantMessage,Contacts
CNContact.AddInstantMessageJSON,Contacts
CNContact.AddPhoneNumber,Contacts
CNContact.AddPostalAddress,Contacts
CNContact.AddPostalAddressJSON,Contacts
CNContact.AddRelation,Contacts
CNContact.AddSocialProfile,Contacts
CNContact.AddSocialProfileJSON,Contacts
CNContact.AddURLAddress,Contacts
CNContact.DeleteValue,Contacts
CNContact.EditInAddressbook,Contacts
CNContact.HasValue,Contacts
CNContact.IsUnifiedWithContact,Contacts
CNContact.JSON,Contacts
CNContact.MailingAddress,Contacts
CNContact.Name,Contacts
CNContactPicker.Close,Contacts
CNContactPicker.Current,Contacts
CNContactPicker.SetTrigger,Contacts
CNContactPicker.Show,Contacts
CNContact.SetValue,Contacts
CNContact.Show,Contacts
CNContact.ShowInAddressbook,Contacts
CNContactStore.AddContact,Contacts
CNContactStore.AddGroup,Contacts
CNContactStore.AddMember,Contacts
CNContactStore.AddSubgroup,Contacts
CNContactStore.AuthorizationError,Contacts
CNContactStore.AuthorizationStatus,Contacts
CNContactStore.ChangeHistory,Contacts
CNContactStore.Contacts,Contacts
CNContactStore.ContactsInContainer,Contacts
CNContactStore.ContactsInGroup,Contacts
CNContactStore.ContactsMatchingEmailAddress,Contacts
CNContactStore.ContactsMatchingName,Contacts
CNContactStore.ContactsMatchingPhoneNumber,Contacts
CNContactStore.ContactsMatchingURL,Contacts
CNContactStore.ContactsWithData,Contacts
CNContactStore.ContainerForContact,Contacts
CNContactStore.ContainerForGroup,Contacts
CNContactStore.Containers,Contacts
CNContactStore.Country,Contacts
CNContactStore.DataWithContacts,Contacts
CNContactStore.DefaultContainerIdentifier,Contacts
CNContactStore.DeleteContact,Contacts
CNContactStore.DeleteGroup,Contacts
CNContactStore.FetchContact,Contacts
CNContactStore.GetTransactionAuthor,Contacts
